,TOPIC,CLASSIFICATION,GROUP,SUBGROUP,ESTIMATE,TIME_PERIOD,REVERSE_ESTIMATE
11155,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.2,2020,98.8
11156,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.2,2021,98.8
11157,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.6,2022,98.4
11158,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,1.3,2023,98.7
11159,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Private,2.2,2024,97.8
11160,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.9,2019,97.1
11161,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,1.8,2020,98.2
11162,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.4,2021,97.6
11163,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.4,2022,97.6
11164,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,3.5,2023,96.5
11165,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare and Medicaid,2.4,2024,97.6
11166,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,3.5,2019,96.5
11167,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2.1,2020,97.9
11168,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2.7,2021,97.3
11169,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2.2,2022,97.8
11170,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2.4,2023,97.6
11171,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare Advantage,2.1,2024,97.9
11172,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,6.2,2019,93.8
11173,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.3,2020,94.7
11174,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,3.5,2021,96.5
11175,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,5.3,2022,94.7
11176,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,3.3,2023,96.7
11177,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2.6,2024,97.4
11178,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,3.0,2019,97.0
11179,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2.3,2020,97.7
11180,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,1.2,2021,98.8
11181,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,2.3,2022,97.7
11182,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,1.4,2023,98.6
11183,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: 65 years and older,Other government coverage,1.2,2024,98.8
11190,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,5.4,2019,94.6
11191,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,4.6,2020,95.4
11192,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,5.2,2021,94.8
11193,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,4.8,2022,95.2
11194,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,5.2,2023,94.8
11195,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Private,6.8,2024,93.2
11196,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,7.9,2019,92.1
11197,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,7.2,2020,92.8
11198,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,5.3,2021,94.7
11199,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,7.1,2022,92.9
11200,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.8,2023,93.2
11201,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,6.6,2024,93.4
11202,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,10.8,2019,89.2
11203,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,9.4,2020,90.6
11204,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,6.6,2021,93.4
11205,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,6.9,2022,93.1
11206,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,9.2,2023,90.8
11207,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Other government coverage,7.3,2024,92.7
11208,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,30.2,2019,69.8
11209,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,23.5,2020,76.5
11210,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,20.7,2021,79.3
11211,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,22.0,2022,78.0
11212,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,22.6,2023,77.4
11213,Did not get needed medical care due to cost,Socioeconomic Characteristic,Health insurance coverage: Younger than 65 years,Uninsured,25.0,2024,75.0
11214,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,15.8,2019,84.2
11215,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,12.3,2020,87.7
11216,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,11.2,2021,88.8
11217,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,10.7,2022,89.3
11218,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,12.0,2023,88.0
11219,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,<100% FPL,11.1,2024,88.9
11220,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,14.2,2019,85.8
11221,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,11.1,2020,88.9
11222,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,8.4,2021,91.6
11223,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,10.5,2022,89.5
11224,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,10.4,2023,89.6
11225,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,100% to <200% FPL,10.7,2024,89.3
11226,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,5.5,2019,94.5
11227,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,4.7,2020,95.3
11228,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,4.8,2021,95.2
11229,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,4.7,2022,95.3
11230,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,4.5,2023,95.5
11231,Did not get needed medical care due to cost,Socioeconomic Characteristic,Poverty level,???200% FPL,6.1,2024,93.9
11232,Did not get needed mental health care due to cost,Total,Total,18 years and older,4.4,2019,95.6
11233,Did not get needed mental health care due to cost,Total,Total,18 years and older,4.3,2020,95.7
11234,Did not get needed mental health care due to cost,Total,Total,18 years and older,4.2,2021,95.8
11235,Did not get needed mental health care due to cost,Total,Total,18 years and older,5.0,2022,95.0
11236,Did not get needed mental health care due to cost,Total,Total,18 years and older,5.5,2023,94.5
11237,Did not get needed mental health care due to cost,Total,Total,18 years and older,5.9,2024,94.1
11238,Did not get needed mental health care due to cost,Demographic Characteristic,Age groups with 65 years and older,18-34 years,6.6,2019,93.4
11239,Did not get needed mental health care due to cost,Demographic Characteristic,Age groups with 65 years and older,18-34 years,7.0,2020,93.0
